filename,width,height,class,xmin,ymin,xmax,ymax
n02676566_4268.JPEG,200,300,guitar,17,121,170,275
n02676566_8824.JPEG,500,333,guitar,29,24,472,309
n02676566_6802.JPEG,333,500,guitar,95,84,249,483
n02676566_8805.JPEG,500,361,guitar,89,132,493,357
n02676566_98.JPEG,203,336,guitar,36,10,167,329
n02676566_3160.JPEG,200,201,guitar,3,2,198,200
n02676566_6762.JPEG,500,278,guitar,12,15,472,278
n02676566_3947.JPEG,263,472,guitar,61,12,226,436
n02676566_8943.JPEG,500,295,guitar,1,85,282,287
n02676566_8943.JPEG,500,295,guitar,196,63,415,178
n02676566_7219.JPEG,334,500,guitar,148,1,333,452
n02676566_8946.JPEG,61,160,guitar,1,19,19,61
n02676566_8946.JPEG,61,160,guitar,3,15,60,158
n02676566_3733.JPEG,266,248,guitar,6,3,252,238
n02676566_6196.JPEG,500,334,guitar,50,20,500,319
n02676566_6991.JPEG,375,500,guitar,81,33,237,459
n02676566_2751.JPEG,300,322,guitar,4,1,290,314
n02676566_3056.JPEG,360,360,guitar,113,8,246,351
n02676566_411.JPEG,100,100,guitar,29,1,70,100
n02676566_2301.JPEG,200,198,guitar,1,2,197,196
n02676566_1765.JPEG,288,752,guitar,1,2,287,752
n02676566_6764.JPEG,375,500,guitar,30,66,191,475
n02676566_6234.JPEG,316,500,guitar,8,1,308,495
n02676566_946.JPEG,500,333,guitar,1,1,500,333
n02676566_3424.JPEG,500,375,guitar,53,18,437,375
n02676566_1866.JPEG,500,292,guitar,22,60,466,253
n02676566_4671.JPEG,200,248,guitar,3,13,102,241
n02676566_1341.JPEG,250,333,guitar,59,10,177,295
n02676566_8706.JPEG,500,381,guitar,161,1,500,381
n02676566_514.JPEG,187,149,guitar,11,7,185,142
n02676566_4129.JPEG,1536,2048,guitar,218,857,1521,1353
n02676566_4129.JPEG,1536,2048,guitar,187,57,414,715
n02676566_4129.JPEG,1536,2048,guitar,318,1,568,374
n02676566_4129.JPEG,1536,2048,guitar,1059,181,1211,667
n02676566_4129.JPEG,1536,2048,guitar,1273,181,1414,660
n02676566_4129.JPEG,1536,2048,guitar,11,419,259,1074
n02676566_4129.JPEG,1536,2048,guitar,1145,625,1314,922
n02676566_4129.JPEG,1536,2048,guitar,1342,608,1480,891
n02676566_2125.JPEG,276,543,guitar,36,1,241,543
n02676566_3765.JPEG,348,475,guitar,6,18,183,469
n02676566_8862.JPEG,500,375,guitar,18,76,480,299
n02676566_901.JPEG,900,2132,guitar,30,45,879,2099
n02676566_380.JPEG,950,363,guitar,4,4,945,363
n02676566_3271.JPEG,402,600,guitar,12,1,383,550
n02676566_933.JPEG,113,150,guitar,26,3,89,147
n02676566_2237.JPEG,882,1998,guitar,51,17,823,1965
n02676566_7435.JPEG,500,375,guitar,1,1,500,375
n02676566_7110.JPEG,375,500,guitar,11,1,290,500
n02676566_4137.JPEG,333,500,guitar,1,85,215,491
n02676566_6342.JPEG,377,500,guitar,12,1,358,481
n02676566_4196.JPEG,200,200,guitar,8,64,195,136
n02676566_759.JPEG,200,200,guitar,4,64,193,139
n02676566_1681.JPEG,246,246,guitar,77,12,166,239
n02676566_2541.JPEG,450,466,guitar,12,6,439,461
n02676566_6588.JPEG,375,500,guitar,1,1,373,500
n02676566_6655.JPEG,333,500,guitar,107,191,203,341
n02676566_1915.JPEG,119,330,guitar,5,1,119,330
n02676566_4424.JPEG,266,531,guitar,64,25,230,483
n02676566_5408.JPEG,375,500,guitar,105,27,269,458
n02676566_3673.JPEG,495,575,guitar,22,33,235,550
n02676566_3673.JPEG,495,575,guitar,254,26,469,550
n02676566_5000.JPEG,500,333,guitar,97,1,215,279
n02676566_4462.JPEG,500,332,guitar,36,1,500,325
n02676566_6871.JPEG,500,431,guitar,2,1,403,431
n02676566_5095.JPEG,212,500,guitar,5,4,209,491
n02676566_9548.JPEG,332,500,guitar,1,109,332,424
n02676566_7997.JPEG,500,333,guitar,272,1,497,315
n02676566_889.JPEG,500,332,guitar,91,1,500,332
n02676566_2481.JPEG,350,144,guitar,3,1,348,141
n02676566_6175.JPEG,323,500,guitar,11,22,307,483
n02676566_8847.JPEG,500,292,guitar,1,1,500,292
n02676566_5367.JPEG,500,333,guitar,28,90,464,331
n02676566_4510.JPEG,200,200,guitar,63,2,136,198
n02676566_549.JPEG,250,250,guitar,77,10,168,235
n02676566_5084.JPEG,400,400,guitar,124,12,260,386
n02676566_1432.JPEG,150,100,guitar,1,1,134,93
n02676566_1275.JPEG,576,768,guitar,160,9,414,731
n02676566_2008.JPEG,210,285,guitar,58,1,163,285
n02676566_4866.JPEG,474,1200,guitar,1,1,474,1200
n02676566_3899.JPEG,100,100,guitar,31,4,68,97
n02676566_4404.JPEG,217,425,guitar,43,20,179,410
n02676566_4583.JPEG,375,500,guitar,29,6,367,489
n02676566_732.JPEG,100,100,guitar,30,1,71,100
n02676566_3402.JPEG,332,500,guitar,81,111,271,427
n02676566_4469.JPEG,480,640,guitar,145,11,387,581
n02676566_1237.JPEG,150,250,guitar,36,16,117,236
n02676566_1283.JPEG,207,476,guitar,13,10,196,467
n02676566_4518.JPEG,221,208,guitar,6,110,217,206
n02676566_7085.JPEG,375,500,guitar,94,23,272,495
n02676566_7083.JPEG,500,500,guitar,57,108,494,500
n02676566_8622.JPEG,500,375,guitar,20,41,172,340
n02676566_3491.JPEG,180,263,guitar,5,1,176,261
n02676566_2524.JPEG,386,999,guitar,3,3,384,998
n02676566_6244.JPEG,333,500,guitar,81,33,271,464
n02676566_7759.JPEG,227,500,guitar,120,38,227,434
n02676566_17.JPEG,500,375,guitar,2,2,498,375
n02676566_911.JPEG,425,425,guitar,1,16,425,410
n02676566_1728.JPEG,3008,2000,guitar,1,3,2826,1999
n02676566_6969.JPEG,375,500,guitar,83,9,281,500
n02676566_181.JPEG,240,260,guitar,1,1,156,260
n02676566_147.JPEG,468,252,guitar,16,36,440,227
n02676566_3713.JPEG,460,197,guitar,6,10,454,191
n02676566_105.JPEG,225,400,guitar,32,24,196,375
n02676566_4240.JPEG,500,375,guitar,1,1,500,375
n02676566_3690.JPEG,576,432,guitar,155,1,499,424
n02676566_7132.JPEG,500,375,guitar,1,33,500,375
n02676566_6582.JPEG,500,375,guitar,26,1,474,373
n02676566_3586.JPEG,200,200,guitar,88,49,142,188
n02676566_2151.JPEG,280,280,guitar,1,73,278,210
n02676566_6410.JPEG,375,500,guitar,110,10,278,468
n02676566_6838.JPEG,375,500,guitar,1,274,373,500
n02676566_6982.JPEG,499,500,guitar,1,1,499,500
n02676566_4323.JPEG,300,450,guitar,1,1,300,450
n02676566_8268.JPEG,375,500,guitar,90,26,277,449
n02676566_5069.JPEG,280,280,guitar,15,35,251,261
n02676566_163.JPEG,307,760,guitar,2,1,291,749
n02676566_200.JPEG,500,375,guitar,21,83,477,260
n02676566_6954.JPEG,500,375,guitar,1,1,375,375
n02676566_8822.JPEG,213,500,guitar,11,9,205,497
n02676566_4717.JPEG,240,320,guitar,70,15,176,275
n02676566_7389.JPEG,333,500,guitar,82,106,240,417
n02676566_6948.JPEG,385,500,guitar,48,35,255,484
n02676566_1551.JPEG,480,640,guitar,114,17,358,604
n02676566_1677.JPEG,200,168,guitar,5,41,197,165
n02676566_4538.JPEG,279,637,guitar,17,5,268,633
n02676566_323.JPEG,400,400,guitar,130,1,263,399
n02676566_5138.JPEG,407,274,guitar,40,34,122,236
n02676566_5138.JPEG,407,274,guitar,124,33,206,235
n02676566_5138.JPEG,407,274,guitar,207,35,289,232
n02676566_5138.JPEG,407,274,guitar,291,32,373,233
n02676566_8325.JPEG,500,201,guitar,1,1,252,201
n02676566_4095.JPEG,500,375,guitar,1,80,499,280
n02676566_700.JPEG,200,199,guitar,2,1,197,199
n02676566_7296.JPEG,500,336,guitar,1,1,301,141
n02676566_2944.JPEG,250,250,guitar,1,2,249,247
n02676566_3523.JPEG,500,375,guitar,1,13,497,337
n02676566_152.JPEG,638,550,guitar,50,271,613,495
n02676566_1228.JPEG,800,1927,guitar,17,10,795,1916
n02676566_1973.JPEG,300,300,guitar,9,68,296,238
n02676566_8233.JPEG,500,332,guitar,83,1,500,332
n02676566_6865.JPEG,500,333,guitar,1,4,500,333
n02676566_5226.JPEG,336,784,guitar,19,15,304,752
n02676566_5943.JPEG,375,500,guitar,93,10,274,490
n02676566_2949.JPEG,281,500,guitar,7,1,278,500
n02676566_4492.JPEG,432,432,guitar,137,1,295,428
n02676566_5773.JPEG,375,500,guitar,1,1,375,500
n02676566_4595.JPEG,500,473,guitar,22,17,323,452
n02676566_523.JPEG,333,500,guitar,97,26,258,404
n02676566_6343.JPEG,375,500,guitar,1,1,360,497
n02676566_2460.JPEG,329,500,guitar,4,1,329,500
n02676566_4812.JPEG,512,640,guitar,3,38,495,624
n02676566_3041.JPEG,350,596,guitar,1,1,240,596
n02676566_5464.JPEG,500,375,guitar,2,1,487,375
n02676566_3069.JPEG,689,1085,guitar,138,90,560,942
n02676566_3069.JPEG,689,1085,guitar,37,419,308,1059
n02676566_328.JPEG,450,600,guitar,86,12,320,576
n02676566_4341.JPEG,249,186,guitar,1,81,248,179
n02676566_6733.JPEG,208,500,guitar,13,9,197,493
n02676566_3289.JPEG,260,290,guitar,3,5,250,288
n02676566_3428.JPEG,902,368,guitar,5,1,902,365
n02676566_8152.JPEG,320,480,guitar,1,1,320,480
n02676566_6569.JPEG,500,375,guitar,152,198,316,343
n02676566_4419.JPEG,200,200,guitar,64,1,136,200
n02676566_2065.JPEG,250,250,guitar,10,25,226,233
n02676566_8899.JPEG,500,375,guitar,1,1,477,375
n02676566_8758.JPEG,500,334,guitar,1,56,500,334
n02676566_660.JPEG,600,240,guitar,3,15,585,231
n02676566_4493.JPEG,439,382,guitar,82,167,363,307
n02676566_6659.JPEG,333,500,guitar,81,2,283,476
n02676566_2032.JPEG,295,750,guitar,15,13,282,722
n02676566_8890.JPEG,500,375,guitar,1,1,500,375
n02676566_965.JPEG,150,250,guitar,30,9,119,240
n02676566_8406.JPEG,370,490,guitar,1,1,367,481
n02676566_3850.JPEG,280,280,guitar,2,87,280,194
n02676566_2959.JPEG,500,375,guitar,72,134,437,271
n02676566_3115.JPEG,190,152,guitar,1,1,176,132
n02676566_6372.JPEG,500,375,guitar,1,1,500,375
n02676566_6625.JPEG,500,339,guitar,7,33,467,330
n02676566_4876.JPEG,454,302,guitar,35,85,415,231
n02676566_6361.JPEG,375,500,guitar,100,16,266,445
n02676566_2866.JPEG,612,550,guitar,6,185,595,550
n02676566_3627.JPEG,300,816,guitar,2,1,300,812
n02676566_4179.JPEG,979,2188,guitar,13,6,969,2188
n02676566_4220.JPEG,281,600,guitar,12,21,242,584
n02676566_7516.JPEG,333,500,guitar,15,1,291,493
n02676566_1020.JPEG,160,120,guitar,17,11,135,103
n02676566_3205.JPEG,200,203,guitar,2,2,196,202
n02676566_2424.JPEG,275,367,guitar,14,1,253,344
n02676566_5373.JPEG,400,300,guitar,34,6,400,269
n02676566_3026.JPEG,320,240,guitar,3,5,320,236
n02676566_6924.JPEG,500,333,guitar,1,46,157,333
n02676566_6924.JPEG,500,333,guitar,43,40,219,330
n02676566_6924.JPEG,500,333,guitar,105,1,296,333
n02676566_6924.JPEG,500,333,guitar,187,1,329,333
n02676566_6870.JPEG,500,346,guitar,237,159,487,328
n02676566_1180.JPEG,376,400,guitar,4,24,364,363
n02676566_6585.JPEG,500,288,guitar,34,54,179,184
n02676566_6585.JPEG,500,288,guitar,161,61,286,189
n02676566_6585.JPEG,500,288,guitar,329,129,489,193
n02676566_4373.JPEG,225,173,guitar,5,82,207,173
n02676566_8371.JPEG,340,500,guitar,1,1,291,500
n02676566_6489.JPEG,240,320,guitar,44,16,159,302
n02676566_6711.JPEG,334,500,guitar,38,3,262,500
n02676566_3074.JPEG,375,500,guitar,56,6,334,498
n02676566_7100.JPEG,332,500,guitar,80,17,266,466
n02676566_6567.JPEG,333,500,guitar,2,295,333,500
n02676566_2950.JPEG,360,360,guitar,113,6,247,352
n02676566_927.JPEG,480,640,guitar,74,44,398,583
n02676566_7087.JPEG,375,500,guitar,18,1,327,493
n02676566_1928.JPEG,186,300,guitar,1,1,180,297
n02676566_6601.JPEG,500,263,guitar,203,37,301,263
n02676566_6601.JPEG,500,263,guitar,434,203,500,255
n02676566_370.JPEG,250,250,guitar,4,9,248,241
n02676566_1707.JPEG,200,300,guitar,1,1,195,293
n02676566_3350.JPEG,200,200,guitar,66,9,136,194
n02676566_237.JPEG,200,201,guitar,1,1,198,199
n02676566_4403.JPEG,120,100,guitar,44,1,79,99
n02676566_7185.JPEG,334,500,guitar,1,1,334,499
n02676566_6479.JPEG,375,500,guitar,17,1,368,473
n02676566_7760.JPEG,328,500,guitar,15,1,317,484
n02676566_684.JPEG,768,1024,guitar,195,38,570,942
n02676566_4001.JPEG,250,300,guitar,65,5,183,296
n02676566_4677.JPEG,309,232,guitar,1,35,308,232
n02676566_8511.JPEG,500,375,guitar,1,1,484,375
n02676566_2471.JPEG,864,619,guitar,4,1,856,619
n02676566_438.JPEG,200,420,guitar,14,10,185,413
n02676566_3819.JPEG,380,232,guitar,25,27,378,217
n02676566_8026.JPEG,500,333,guitar,21,33,500,333
n02676566_9431.JPEG,500,375,guitar,1,1,500,375
n02676566_5139.JPEG,500,998,guitar,66,28,441,951
n02676566_7836.JPEG,500,375,guitar,63,222,427,367
n02676566_6024.JPEG,354,500,guitar,1,1,354,500
n02676566_4923.JPEG,800,1830,guitar,20,16,783,1816
n02676566_3369.JPEG,272,469,guitar,34,113,256,244
n02676566_4832.JPEG,400,280,guitar,18,30,98,267
n02676566_4832.JPEG,400,280,guitar,90,31,178,265
n02676566_4832.JPEG,400,280,guitar,184,33,276,265
n02676566_4832.JPEG,400,280,guitar,283,32,371,266
n02676566_5220.JPEG,150,200,guitar,30,8,106,194
n02676566_879.JPEG,681,545,guitar,121,214,574,545
n02676566_4436.JPEG,465,1600,guitar,13,42,413,1562
n02676566_2461.JPEG,348,517,guitar,2,288,346,517
n02676566_4947.JPEG,401,300,guitar,138,2,253,293
n02676566_4551.JPEG,283,400,guitar,30,13,169,341
n02676566_5130.JPEG,108,108,guitar,33,1,75,108
n02676566_3054.JPEG,375,500,guitar,82,14,261,471
n02676566_7115.JPEG,332,500,guitar,1,1,332,500
n02676566_7470.JPEG,500,500,guitar,8,12,500,493
n02676566_8284.JPEG,375,500,guitar,105,65,275,464
n02676566_6583.JPEG,330,500,guitar,74,56,250,449
n02676566_4689.JPEG,200,200,guitar,3,66,196,134
n02676566_2288.JPEG,150,300,guitar,13,4,133,294
n02676566_6760.JPEG,500,375,guitar,69,220,465,375
n02676566_5153.JPEG,375,500,guitar,93,8,287,496
n02676566_7076.JPEG,375,500,guitar,16,1,375,500
n02676566_3178.JPEG,156,349,guitar,21,7,142,318
n02676566_6634.JPEG,500,376,guitar,43,167,481,368
n02676566_3808.JPEG,166,392,guitar,6,5,157,389
n02676566_3571.JPEG,268,400,guitar,1,1,262,389
n02676566_9469.JPEG,146,372,guitar,1,8,140,362
n02676566_6570.JPEG,500,375,guitar,1,114,337,360
n02676566_8938.JPEG,500,353,guitar,57,188,474,338
n02676566_3633.JPEG,315,800,guitar,1,1,314,796
n02676566_7724.JPEG,500,332,guitar,121,188,241,332
n02676566_4989.JPEG,386,275,guitar,1,1,385,274
n02676566_1555.JPEG,375,500,guitar,107,10,278,474
n02676566_1115.JPEG,280,300,guitar,79,4,208,292
n02676566_6304.JPEG,500,349,guitar,1,1,500,349
n02676566_6030.JPEG,375,500,guitar,1,1,371,482
n02676566_8922.JPEG,500,375,guitar,50,123,132,306
n02676566_8922.JPEG,500,375,guitar,132,44,253,319
n02676566_6930.JPEG,375,500,guitar,130,148,305,500
n02676566_4773.JPEG,250,250,guitar,44,1,190,248
n02676566_4075.JPEG,500,333,guitar,1,1,500,333
n02676566_8070.JPEG,500,375,guitar,11,28,479,315
n02676566_3768.JPEG,300,217,guitar,4,2,276,68
n02676566_3768.JPEG,300,217,guitar,3,48,286,125
n02676566_3768.JPEG,300,217,guitar,1,97,299,217
n02676566_3949.JPEG,531,799,guitar,21,1,503,764
n02676566_5159.JPEG,531,799,guitar,14,1,511,753
n02676566_6669.JPEG,333,500,guitar,115,221,203,371
n02676566_3468.JPEG,310,273,guitar,9,90,309,273
n02676566_3806.JPEG,100,100,guitar,31,1,69,96
n02676566_1009.JPEG,350,533,guitar,49,241,325,348
n02676566_3177.JPEG,398,594,guitar,86,42,291,517
n02676566_6885.JPEG,500,375,guitar,1,71,500,375
n02676566_4565.JPEG,157,243,guitar,36,3,134,236
n02676566_6985.JPEG,375,500,guitar,228,346,333,489
n02676566_6822.JPEG,333,500,guitar,28,12,227,417
n02676566_8571.JPEG,334,500,guitar,1,20,334,500
n02676566_1076.JPEG,280,280,guitar,96,4,190,272
n02676566_1853.JPEG,400,300,guitar,71,53,345,274
n02676566_3858.JPEG,175,175,guitar,1,3,169,174
n02676566_7718.JPEG,333,500,guitar,98,51,232,393
n02676566_7331.JPEG,500,484,guitar,10,225,314,407
n02676566_7331.JPEG,500,484,guitar,184,204,410,291
n02676566_5215.JPEG,160,403,guitar,1,20,160,400
n02676566_8100.JPEG,333,500,guitar,87,24,261,494
n02676566_8756.JPEG,500,333,guitar,39,128,409,270
n02676566_7343.JPEG,334,500,guitar,119,1,292,303
n02676566_4532.JPEG,500,375,guitar,1,12,500,375
n02676566_7852.JPEG,430,500,guitar,124,43,292,446
n02676566_7015.JPEG,333,500,guitar,1,1,333,499
n02676566_9.JPEG,375,500,guitar,124,1,293,439
n02676566_4868.JPEG,300,134,guitar,1,3,299,134
n02676566_6931.JPEG,500,326,guitar,1,57,500,326
n02676566_2236.JPEG,320,483,guitar,20,27,307,479
n02676566_8605.JPEG,225,500,guitar,1,4,216,500
n02676566_5134.JPEG,400,317,guitar,15,121,349,317
n02676566_118.JPEG,950,561,guitar,100,2,578,557
n02676566_769.JPEG,278,290,guitar,12,173,261,278
n02676566_769.JPEG,278,290,guitar,62,13,144,205
n02676566_769.JPEG,278,290,guitar,137,23,229,260
n02676566_3719.JPEG,182,400,guitar,16,23,161,383
n02676566_8618.JPEG,332,500,guitar,71,30,209,465
n02676566_4592.JPEG,352,264,guitar,1,1,352,264
n02676566_4048.JPEG,700,504,guitar,5,8,693,504
n02676566_1643.JPEG,246,594,guitar,25,21,231,566
n02676566_4310.JPEG,460,208,guitar,2,3,458,207
n02676566_103.JPEG,200,201,guitar,1,1,197,198
n02676566_8533.JPEG,500,333,guitar,11,1,479,333
n02676566_868.JPEG,500,375,guitar,1,43,500,374
n02676566_281.JPEG,370,352,guitar,7,5,368,348
n02676566_1877.JPEG,598,388,guitar,262,12,403,386
n02676566_8079.JPEG,500,375,guitar,1,4,500,375
n02676566_7211.JPEG,219,500,guitar,16,16,207,498
n02676566_6494.JPEG,375,500,guitar,41,44,293,257
n02676566_3139.JPEG,537,800,guitar,42,1,495,734
n02676566_7569.JPEG,500,304,guitar,11,118,499,299
n02676566_1073.JPEG,166,300,guitar,1,1,166,297
n02676566_995.JPEG,320,283,guitar,1,1,320,283
n02676566_6674.JPEG,332,500,guitar,34,81,290,500
n02676566_7815.JPEG,344,500,guitar,18,263,312,479
n02676566_1219.JPEG,150,149,guitar,3,1,147,147
n02676566_3757.JPEG,213,300,guitar,5,7,116,296
n02676566_3757.JPEG,213,300,guitar,105,25,203,276
n02676566_295.JPEG,150,200,guitar,40,9,113,193
n02676566_650.JPEG,350,486,guitar,92,15,275,467
n02676566_3822.JPEG,382,491,guitar,24,1,350,471
n02676566_3910.JPEG,213,320,guitar,1,1,212,320
n02676566_1658.JPEG,180,180,guitar,1,122,179,180
n02676566_4537.JPEG,500,332,guitar,1,1,473,332
n02676566_5495.JPEG,375,500,guitar,15,30,183,470
n02676566_8133.JPEG,375,500,guitar,1,1,375,499
n02676566_2798.JPEG,417,201,guitar,3,37,412,201
n02676566_1666.JPEG,280,280,guitar,8,40,265,102
n02676566_1666.JPEG,280,280,guitar,4,82,269,146
n02676566_1666.JPEG,280,280,guitar,4,129,280,243
n02676566_7543.JPEG,500,335,guitar,1,13,500,335
n02676566_3728.JPEG,350,262,guitar,29,14,335,227
n02676566_915.JPEG,550,234,guitar,13,14,536,220
n02676566_1691.JPEG,507,676,guitar,36,1,470,646
n02676566_7030.JPEG,400,268,guitar,1,1,400,268
n02676566_1715.JPEG,200,194,guitar,1,1,196,192
n02676566_3753.JPEG,947,694,guitar,14,2,940,688
n02676566_6557.JPEG,404,500,guitar,6,6,396,492
n02676566_4789.JPEG,250,250,guitar,14,111,193,179
n02676566_7895.JPEG,500,375,guitar,254,111,322,182
n02676566_7895.JPEG,500,375,guitar,389,122,449,170
n02676566_7536.JPEG,333,500,guitar,63,232,284,500
n02676566_1723.JPEG,402,600,guitar,17,1,379,576
n02676566_1136.JPEG,400,700,guitar,1,1,394,697
n02676566_7094.JPEG,500,210,guitar,7,4,496,204
n02676566_6580.JPEG,332,500,guitar,1,162,332,433
n02676566_2952.JPEG,600,453,guitar,30,119,600,352
n02676566_26.JPEG,537,800,guitar,20,1,514,767
n02676566_3263.JPEG,280,280,guitar,107,8,198,268
n02676566_6942.JPEG,333,500,guitar,12,231,333,432
n02676566_741.JPEG,200,125,guitar,5,23,190,113
n02676566_3952.JPEG,336,744,guitar,27,16,311,732
n02676566_241.JPEG,240,157,guitar,3,4,234,150
n02676566_3327.JPEG,275,625,guitar,19,9,260,619
n02676566_4280.JPEG,241,500,guitar,32,25,220,485
n02676566_1066.JPEG,400,266,guitar,4,75,396,234
n02676566_6980.JPEG,500,375,guitar,52,69,500,328
n02676566_367.JPEG,375,500,guitar,110,1,292,484
n02676566_1576.JPEG,500,375,guitar,159,66,494,203
n02676566_3116.JPEG,500,346,guitar,87,96,496,329
n02676566_3936.JPEG,142,300,guitar,2,1,141,298
n02676566_2666.JPEG,703,549,guitar,24,47,692,546
n02676566_8141.JPEG,500,374,guitar,177,1,316,367
n02676566_9475.JPEG,500,333,guitar,1,1,500,333
n02676566_3132.JPEG,320,732,guitar,12,16,295,722
n02676566_4192.JPEG,198,500,guitar,8,9,194,495
n02676566_7090.JPEG,500,375,guitar,28,49,500,312
n02676566_8074.JPEG,500,375,guitar,1,1,500,375
n02676566_990.JPEG,300,500,guitar,58,26,233,469
n02676566_4134.JPEG,600,535,guitar,51,50,223,494
n02676566_4134.JPEG,600,535,guitar,305,46,352,494
n02676566_4134.JPEG,600,535,guitar,453,11,591,274
n02676566_4134.JPEG,600,535,guitar,453,334,600,498
n02676566_6953.JPEG,500,260,guitar,5,1,95,119
n02676566_6953.JPEG,500,260,guitar,94,1,162,113
n02676566_6953.JPEG,500,260,guitar,162,1,216,113
n02676566_6953.JPEG,500,260,guitar,208,1,248,104
n02676566_6953.JPEG,500,260,guitar,266,1,306,106
n02676566_6953.JPEG,500,260,guitar,404,23,428,83
n02676566_6953.JPEG,500,260,guitar,434,18,466,93
n02676566_6953.JPEG,500,260,guitar,469,18,500,94
n02676566_6953.JPEG,500,260,guitar,401,101,432,176
n02676566_6953.JPEG,500,260,guitar,40,160,77,260
n02676566_6953.JPEG,500,260,guitar,106,146,164,260
n02676566_6953.JPEG,500,260,guitar,170,135,223,260
n02676566_6953.JPEG,500,260,guitar,214,129,259,260
n02676566_6953.JPEG,500,260,guitar,254,124,291,253
n02676566_6953.JPEG,500,260,guitar,283,117,316,238
n02676566_6953.JPEG,500,260,guitar,309,113,332,215
n02676566_6953.JPEG,500,260,guitar,329,106,349,210
n02676566_6953.JPEG,500,260,guitar,344,103,366,203
n02676566_6953.JPEG,500,260,guitar,306,3,332,101
n02676566_6953.JPEG,500,260,guitar,340,11,354,99
n02676566_1485.JPEG,309,232,guitar,143,17,309,228
n02676566_4629.JPEG,500,375,guitar,1,194,500,375
n02676566_9396.JPEG,500,375,guitar,115,105,500,286
n02676566_6661.JPEG,375,500,guitar,21,3,187,453
n02676566_6661.JPEG,375,500,guitar,164,3,352,493
n02676566_6493.JPEG,500,333,guitar,14,50,106,297
n02676566_1650.JPEG,250,252,guitar,1,88,246,252
n02676566_1386.JPEG,450,312,guitar,11,7,190,300
n02676566_2089.JPEG,300,300,guitar,6,2,296,300
n02676566_3465.JPEG,200,202,guitar,1,1,198,202
n02676566_6889.JPEG,58,160,guitar,1,4,57,154
n02676566_6735.JPEG,332,500,guitar,1,269,332,430
n02676566_8065.JPEG,500,463,guitar,1,1,500,463
n02676566_8549.JPEG,333,500,guitar,60,47,241,439
n02676566_2967.JPEG,380,344,guitar,1,2,380,344
n02676566_1664.JPEG,220,137,guitar,4,23,182,109
n02676566_5438.JPEG,500,375,guitar,233,1,500,375
n02676566_5218.JPEG,200,194,guitar,1,1,199,194
n02676566_2307.JPEG,402,600,guitar,14,1,366,554
n02676566_733.JPEG,154,230,guitar,24,130,154,211
n02676566_2150.JPEG,300,557,guitar,48,3,252,554
n02676566_4759.JPEG,600,450,guitar,48,18,584,435
n02676566_4605.JPEG,375,500,guitar,157,1,274,497
n02676566_8053.JPEG,500,475,guitar,1,1,239,475
n02676566_4349.JPEG,206,300,guitar,104,22,197,258
n02676566_9540.JPEG,500,333,guitar,24,54,470,333
n02676566_867.JPEG,332,500,guitar,79,38,253,477
n02676566_4122.JPEG,811,1245,guitar,160,19,640,1206
n02676566_5500.JPEG,335,500,guitar,38,57,319,282
n02676566_8726.JPEG,500,333,guitar,126,20,447,325
n02676566_2487.JPEG,212,151,guitar,4,1,48,136
n02676566_2487.JPEG,212,151,guitar,49,1,107,140
n02676566_2487.JPEG,212,151,guitar,93,1,146,139
n02676566_2487.JPEG,212,151,guitar,135,1,190,137
n02676566_2487.JPEG,212,151,guitar,169,1,211,138
n02676566_3107.JPEG,234,246,guitar,74,6,163,238
